i,gnb_lat,gnb_long,latitude,longitude,SNR,distance,circles
1,40.737537729,-8.543658729,40.73821915122814,-8.543071836251809,48.56715826108788,0.1,1
1,40.737537729,-8.543658729,40.73890057345626,-8.542484943503617,36.60110435794648,0.2,2
1,40.737537729,-8.543658729,40.7395819956844,-8.541898050755425,31.957682082218128,0.30000000000000004,3
1,40.737537729,-8.543658729,40.74026341791253,-8.54131115800723,27.487613948214744,0.4,4
1,40.737537729,-8.543658729,40.740944840140656,-8.540724265259039,23.756413687683022,0.5,5
1,40.737537729,-8.543658729,40.74162626236879,-8.540137372510845,20.639828552305488,0.6,6
1,40.737537729,-8.543658729,40.74230768459692,-8.539550479762653,17.990913647026716,0.7000000000000001,7
1,40.737537729,-8.543658729,40.74298910682505,-8.53896358701446,15.698984794677344,0.8,8
1,40.737537729,-8.543658729,40.74367052905318,-8.538376694266267,13.684884763296736,0.9,9
1,40.737537729,-8.543658729,40.74435195128132,-8.537789801518073,11.891640999627768,1.0,10
1,40.737537729,-8.543658729,40.74503337350945,-8.537202908769881,10.27744211062722,1.1,11
1,40.737537729,-8.543658729,40.74571479573758,-8.536616016021688,8.81093199858384,1.2000000000000002,12
1,40.737537729,-8.543658729,40.74639621796571,-8.536029123273496,7.468104299749882,1.3000000000000003,13
1,40.737537729,-8.543658729,40.747077640193844,-8.535442230525303,6.230230269130857,1.4000000000000001,14
1,40.737537729,-8.543658729,40.74775906242197,-8.534855337777111,5.082449966724411,1.5000000000000002,15
1,40.737537729,-8.543658729,40.748440484650104,-8.534268445028918,4.012794465179752,1.6,16
1,40.737537729,-8.543658729,40.74912190687824,-8.533681552280726,3.011493337779342,1.7000000000000002,17
1,40.737537729,-8.543658729,40.74980332910636,-8.533094659532532,2.0704747622772004,1.8000000000000003,18
1,40.737537729,-8.543658729,40.7504847513345,-8.53250776678434,1.182998255755166,1.9000000000000001,19
1,40.737537729,-8.543658729,40.75116617356263,-8.531920874036146,0.3433804571673704,2.0,20
1,40.737537729,-8.543658729,40.75184759579076,-8.531333981287954,-0.4532126644849086,2.1,21
1,40.737537729,-8.543658729,40.75252901801889,-8.53074708853976,-1.2109254094121553,2.2,22
1,40.737537729,-8.543658729,40.753210440247024,-8.530160195791568,-1.933336456983696,2.3000000000000003,23
1,40.737537729,-8.543658729,40.75389186247515,-8.529573303043374,-2.623556479395404,2.4000000000000004,24
1,40.737537729,-8.543658729,40.754573284703284,-8.528986410295182,-3.2843057207307993,2.5000000000000004,25
1,40.737537729,-8.543658729,40.75525470693142,-8.52839951754699,-3.9179762487075465,2.6,26
1,40.737537729,-8.543658729,40.755936129159544,-8.527812624798798,-4.526682352731427,2.7,27
1,40.737537729,-8.543658729,40.75661755138768,-8.527225732050605,-5.112301681993159,2.8000000000000003,28
1,40.737537729,-8.543658729,40.75729897361581,-8.526638839302413,-5.676509082018811,2.9000000000000004,29
1,40.737537729,-8.543658729,40.75798039584394,-8.526051946554219,-6.220804623743646,3.0000000000000004,30
1,40.737537729,-8.543658729,40.75866181807207,-8.525465053806027,-6.746536975880943,3.1,31
2,40.737537729,-8.543658729,40.73821915122814,-8.543071836251809,48.56715826108788,0.1,1
2,40.737537729,-8.543658729,40.73890057345626,-8.542484943503617,36.60110435794648,0.2,2
2,40.737537729,-8.543658729,40.7395819956844,-8.541898050755425,31.957682082218128,0.30000000000000004,3
2,40.737537729,-8.543658729,40.74026341791253,-8.54131115800723,27.487613948214744,0.4,4
2,40.737537729,-8.543658729,40.740944840140656,-8.540724265259039,23.756413687683022,0.5,5
2,40.737537729,-8.543658729,40.74162626236879,-8.540137372510845,20.639828552305488,0.6,6
2,40.737537729,-8.543658729,40.74230768459692,-8.539550479762653,17.990913647026716,0.7000000000000001,7
2,40.737537729,-8.543658729,40.74298910682505,-8.53896358701446,15.698984794677344,0.8,8
2,40.737537729,-8.543658729,40.74367052905318,-8.538376694266267,13.684884763296736,0.9,9
2,40.737537729,-8.543658729,40.74435195128132,-8.537789801518073,11.891640999627768,1.0,10
2,40.737537729,-8.543658729,40.74503337350945,-8.537202908769881,10.27744211062722,1.1,11
2,40.737537729,-8.543658729,40.74571479573758,-8.536616016021688,8.81093199858384,1.2000000000000002,12
2,40.737537729,-8.543658729,40.74639621796571,-8.536029123273496,7.468104299749882,1.3000000000000003,13
2,40.737537729,-8.543658729,40.747077640193844,-8.535442230525303,6.230230269130857,1.4000000000000001,14
2,40.737537729,-8.543658729,40.74775906242197,-8.534855337777111,5.082449966724411,1.5000000000000002,15
2,40.737537729,-8.543658729,40.748440484650104,-8.534268445028918,4.012794465179752,1.6,16
2,40.737537729,-8.543658729,40.74912190687824,-8.533681552280726,3.011493337779342,1.7000000000000002,17
2,40.737537729,-8.543658729,40.74980332910636,-8.533094659532532,2.0704747622772004,1.8000000000000003,18
2,40.737537729,-8.543658729,40.7504847513345,-8.53250776678434,1.182998255755166,1.9000000000000001,19
2,40.737537729,-8.543658729,40.75116617356263,-8.531920874036146,0.3433804571673704,2.0,20
2,40.737537729,-8.543658729,40.75184759579076,-8.531333981287954,-0.4532126644849086,2.1,21
2,40.737537729,-8.543658729,40.75252901801889,-8.53074708853976,-1.2109254094121553,2.2,22
2,40.737537729,-8.543658729,40.753210440247024,-8.530160195791568,-1.933336456983696,2.3000000000000003,23
2,40.737537729,-8.543658729,40.75389186247515,-8.529573303043374,-2.623556479395404,2.4000000000000004,24
2,40.737537729,-8.543658729,40.754573284703284,-8.528986410295182,-3.2843057207307993,2.5000000000000004,25
